Date,Close/Last,Volume,Open,High,Low,,
2019-06-13,2891.64,--,2886.24,2895.24,2881.99,,
2019-06-12,2879.84,--,2882.73,2888.57,2874.68,,
2019-06-11,2885.72,--,2903.27,2910.61,2878.53,,
2019-06-10,2886.73,--,2885.83,2904.77,2885.51,,
2019-06-07,2873.34,--,2852.87,2884.97,2852.87,,
2019-06-06,2843.49,--,2828.51,2852.1,2822.45,,
2019-06-05,2826.15,--,2818.09,2827.28,2800.92,,
2019-06-04,2803.27,--,2762.64,2804.49,2762.64,,
2019-06-03,2744.45,--,2751.53,2763.07,2728.81,,
2019-05-31,2752.06,--,2766.15,2768.98,2750.52,,
